,0,1
89,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P02798
90,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A2APL5
91,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A2AQI7
92,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A2APL8
93,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A2APL7
94,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P43006
95,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/F7CAM6
96,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/F6ZRK3
97,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UYK6
98,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3USU5
99,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/X2D841
100,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A0U1RNV7
101,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P21956
102,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TDU5
103,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D6RFP9
104,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/E9PXG5
105,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/E9Q8Y5
106,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/E9PUU2
107,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/E9Q9B8
108,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/E9Q2G2
109,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q06890
110,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3V245
111,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q549A5
112,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9JK98
113,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q6PIE5
114,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D3YYN7
115,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UHK5
116,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q6ZQ49
117,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8R3A9
118,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q04447
119,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A1L151
120,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q99JG2
121,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q99JY8
122,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q62283
123,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UHG5
124,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q6PDN6
125,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q8R0Q6
126,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P47877
127,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D3YU40
128,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9D057
129,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1D5RLI5
130,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1D5RLF4
131,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/P28184
132,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3USP9
133,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q0GNC1
134,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1Y7VM80
135,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A1Y7VLQ6
136,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/E9QLA5
137,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D3Z6F5
138,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/D6RJ16
139,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9QYG0
140,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A2I3BQR5
141,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A2I3BPW0
142,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A2I3BPL1
143,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A2I3BQM5
144,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/A0A2I3BS20
145,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9CTJ5
146,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TRT0
147,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3TML7
148,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UTW3
149,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q3UQ58
150,http://purl.obolibrary.org/obo/CL_0000127,http://purl.uniprot.org/uniprot/Q9MD68
